Id,MSSubClass,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,YrSold,SalePrice
42,20,16905,1Fam,1Story,5,6,1959,1959,TA,Gd,CBlock,TA,TA,1350,Gd,1328,0,1328,1,1,2,TA,5,Typ,2,Gd,1,308,TA,TA,0,104,0,0,0,2007,170000
43,85,9180,1Fam,SFoyer,5,7,1983,1983,TA,TA,CBlock,Gd,TA,840,Gd,884,0,884,1,0,2,Gd,5,Typ,0,NA,2,504,TA,Gd,240,0,0,0,0,2007,144000
44,20,9200,1Fam,1Story,5,6,1975,1980,TA,TA,CBlock,Gd,TA,938,TA,938,0,938,1,0,3,TA,5,Typ,0,NA,1,308,TA,TA,145,0,0,0,0,2008,130250
45,20,7945,1Fam,1Story,5,6,1959,1959,TA,TA,CBlock,TA,TA,1150,Ex,1150,0,1150,1,0,3,TA,6,Typ,0,NA,1,300,TA,TA,0,0,0,0,0,2006,141000
46,120,7658,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,Ex,TA,1752,Ex,1752,0,1752,2,0,2,Ex,6,Typ,1,Gd,2,576,TA,TA,196,82,0,0,0,2010,319900
47,50,12822,1Fam,1.5Fin,7,5,2003,2003,Gd,TA,PConc,Ex,TA,1434,Ex,1518,631,2149,1,1,1,Gd,6,Typ,1,Ex,2,670,TA,TA,168,43,0,0,198,2009,239686
48,20,11096,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,Gd,TA,1656,Ex,1656,0,1656,2,0,3,Gd,7,Typ,0,NA,3,826,TA,TA,0,146,0,0,0,2007,249700
49,190,4456,2fmCon,2Story,4,5,1920,2008,TA,TA,BrkTil,TA,TA,736,Gd,736,716,1452,2,0,2,TA,8,Typ,0,NA,0,0,NA,NA,0,0,102,0,0,2009,113000
50,20,7742,1Fam,1Story,5,7,1966,1966,TA,TA,CBlock,TA,TA,955,Ex,955,0,955,1,0,3,TA,6,Typ,0,NA,1,386,TA,TA,0,0,0,0,0,2007,127000
51,60,13869,1Fam,2Story,6,6,1997,1997,TA,TA,PConc,Gd,TA,794,Gd,794,676,1470,2,0,3,TA,6,Typ,0,NA,2,388,TA,TA,0,75,0,0,0,2007,177000
52,50,6240,1Fam,1.5Fin,6,6,1934,1950,TA,TA,PConc,TA,TA,816,TA,816,0,1176,1,0,3,TA,6,Typ,1,Gd,2,528,TA,TA,112,0,0,0,0,2006,114500
53,90,8472,Duplex,1Story,5,5,1963,1963,Fa,TA,CBlock,Gd,TA,816,TA,816,0,816,1,0,2,TA,5,Typ,0,NA,2,516,TA,TA,106,0,0,0,0,2010,110000
54,20,50271,1Fam,1Story,9,5,1981,1987,Gd,TA,CBlock,Ex,TA,1842,Gd,1842,0,1842,0,1,0,Gd,5,Typ,1,Gd,3,894,TA,TA,857,72,0,0,0,2006,385000
55,80,7134,1Fam,SLvl,5,5,1955,1955,TA,TA,CBlock,TA,TA,384,TA,1360,0,1360,1,0,3,TA,6,Min1,1,TA,2,572,TA,TA,0,50,0,0,0,2007,130000
56,20,10175,1Fam,1Story,6,5,1964,1964,TA,TA,CBlock,TA,TA,1425,Gd,1425,0,1425,2,0,3,TA,7,Typ,1,Gd,2,576,TA,TA,0,0,0,407,0,2008,180500
57,160,2645,Twnhs,2Story,8,5,1999,2000,Gd,TA,PConc,Gd,TA,970,Ex,983,756,1739,2,1,3,Gd,7,Typ,0,NA,2,480,TA,TA,115,0,0,0,0,2009,172500
58,60,11645,1Fam,2Story,7,5,2004,2004,Gd,TA,PConc,Gd,TA,860,Ex,860,860,1720,2,1,3,Gd,7,Typ,0,NA,2,565,TA,TA,0,70,0,0,0,2006,196500
59,60,13682,1Fam,2Story,10,5,2006,2006,Ex,TA,PConc,Ex,TA,1410,Ex,1426,1519,2945,3,1,3,Gd,10,Typ,1,Gd,3,641,TA,TA,192,0,37,0,0,2006,438780
60,20,7200,1Fam,1Story,5,7,1972,1972,TA,TA,CBlock,TA,TA,780,Ex,780,0,780,1,0,2,TA,4,Typ,0,NA,1,352,TA,TA,196,0,0,0,0,2008,124900
61,20,13072,1Fam,1Story,6,5,2004,2004,TA,TA,PConc,Gd,TA,1158,Ex,1158,0,1158,1,1,3,Gd,5,Typ,0,NA,2,576,TA,TA,0,50,0,0,0,2006,158000
62,75,7200,1Fam,2.5Unf,5,7,1920,1996,TA,TA,BrkTil,TA,Fa,530,TA,581,530,1111,1,0,3,Fa,6,Typ,0,NA,1,288,TA,TA,0,0,144,0,0,2007,101000
63,120,6442,TwnhsE,1Story,8,5,2006,2006,Gd,TA,PConc,Gd,Gd,1370,Ex,1370,0,1370,2,0,2,Gd,6,Typ,1,Gd,2,484,TA,TA,120,49,0,0,0,2007,202500
64,70,10300,1Fam,2Story,7,6,1921,1950,TA,TA,BrkTil,TA,TA,576,Gd,902,808,1710,2,0,3,TA,9,Typ,0,NA,2,480,TA,TA,12,11,64,0,0,2010,140000
65,60,9375,1Fam,2Story,7,5,1997,1998,TA,TA,PConc,Gd,TA,1057,Ex,1057,977,2034,2,1,3,Gd,8,Typ,0,NA,2,645,TA,TA,576,36,0,0,0,2009,219500
66,60,9591,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,Ex,TA,1143,Ex,1143,1330,2473,2,1,4,Gd,9,Typ,1,Gd,3,852,TA,TA,192,151,0,0,0,2007,317000
67,20,19900,1Fam,1Story,7,5,1970,1989,TA,TA,CBlock,Gd,TA,1947,TA,2207,0,2207,2,0,3,TA,7,Min1,1,Gd,2,576,TA,TA,301,0,0,0,0,2010,180000
68,20,10665,1Fam,1Story,7,5,2003,2003,Gd,TA,PConc,Gd,TA,1453,Ex,1479,0,1479,2,0,3,Gd,7,Typ,0,NA,2,558,TA,TA,144,29,0,0,0,2007,226000
69,30,4608,1Fam,1Story,4,6,1945,1950,TA,Gd,CBlock,TA,TA,747,TA,747,0,747,1,0,2,TA,4,Typ,0,NA,1,220,TA,TA,0,0,0,0,0,2010,80000
70,50,15593,1Fam,1.5Fin,7,4,1953,1953,Gd,TA,CBlock,TA,TA,1304,TA,1304,983,2287,2,0,3,TA,7,Typ,1,TA,2,667,TA,TA,0,21,114,0,0,2006,225000
71,20,13651,1Fam,1Story,7,6,1973,1973,TA,Gd,CBlock,Gd,TA,2223,Ex,2223,0,2223,2,0,3,TA,8,Typ,2,Gd,2,516,TA,TA,300,0,0,0,0,2007,244000
72,20,7599,1Fam,1Story,4,6,1982,2006,TA,TA,CBlock,TA,TA,845,TA,845,0,845,1,0,2,TA,4,Typ,0,NA,2,360,TA,TA,0,0,0,0,0,2007,129500
73,60,10141,1Fam,2Story,7,5,1998,1998,TA,TA,PConc,Gd,TA,832,Gd,885,833,1718,2,1,3,TA,7,Typ,1,TA,2,427,TA,TA,0,94,0,0,291,2009,185000
74,20,10200,1Fam,1Story,5,7,1954,2003,TA,TA,CBlock,TA,TA,1086,Gd,1086,0,1086,1,0,3,TA,6,Typ,0,NA,2,490,TA,TA,0,0,0,0,0,2010,144900
75,50,5790,1Fam,2Story,3,6,1915,1950,Gd,Gd,CBlock,Fa,TA,840,Gd,840,765,1605,2,0,3,TA,8,Typ,0,NA,1,379,TA,TA,0,0,202,0,0,2010,107400
76,180,1596,Twnhs,SLvl,4,5,1973,1973,TA,TA,CBlock,Gd,TA,462,TA,526,462,988,1,0,2,TA,5,Typ,0,NA,1,297,TA,TA,120,101,0,0,0,2009,91000
77,20,8475,1Fam,1Story,4,7,1956,1956,TA,TA,CBlock,TA,TA,952,Ex,952,0,952,1,0,2,TA,4,Typ,0,NA,1,283,TA,TA,0,0,0,0,0,2008,135750
78,50,8635,1Fam,1.5Fin,5,5,1948,2001,TA,TA,CBlock,TA,TA,672,TA,1072,213,1285,1,0,2,TA,6,Min1,0,NA,1,240,TA,TA,0,0,0,0,0,2008,127000
79,90,10778,Duplex,1Story,4,5,1968,1968,TA,TA,CBlock,TA,TA,1768,TA,1768,0,1768,2,0,4,TA,8,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2010,136500
80,50,10440,1Fam,2Story,5,6,1910,1981,TA,TA,PConc,TA,TA,440,Gd,682,548,1230,1,1,2,TA,5,Typ,0,NA,2,440,TA,TA,74,0,128,0,0,2009,110000
81,60,13000,1Fam,2Story,6,6,1968,1968,TA,Gd,CBlock,Gd,TA,896,TA,1182,960,2142,2,1,4,Gd,8,Typ,1,Gd,1,509,TA,TA,0,72,0,0,252,2009,193500
82,120,4500,TwnhsE,1Story,6,5,1998,1998,TA,Gd,PConc,Ex,Gd,1237,Ex,1337,0,1337,2,0,2,TA,5,Typ,0,NA,2,405,TA,TA,0,199,0,0,0,2006,153500
83,20,10206,1Fam,1Story,8,5,2007,2007,TA,TA,PConc,Gd,TA,1563,Ex,1563,0,1563,2,0,3,Gd,6,Typ,1,Gd,3,758,TA,TA,144,99,0,0,0,2008,245000
84,20,8892,1Fam,1Story,5,5,1960,1960,TA,TA,CBlock,TA,TA,1065,Gd,1065,0,1065,1,1,3,TA,6,Typ,0,NA,2,461,TA,TA,74,0,0,0,0,2007,126500
85,80,8530,1Fam,SLvl,7,5,1995,1996,TA,TA,PConc,Gd,TA,384,Gd,804,670,1474,2,1,3,TA,7,Typ,1,TA,2,400,TA,TA,120,72,0,0,0,2009,168500
86,60,16059,1Fam,2Story,8,5,1991,1992,Gd,TA,CBlock,Gd,TA,1288,Ex,1301,1116,2417,2,1,4,Gd,9,Typ,1,TA,2,462,TA,TA,127,82,0,0,0,2006,260000
87,60,11911,1Fam,2Story,6,5,2005,2005,Gd,TA,PConc,Gd,TA,684,Ex,684,876,1560,2,1,3,Gd,6,Typ,1,Gd,2,400,TA,TA,100,38,0,0,0,2009,174000
88,160,3951,TwnhsE,2Story,6,5,2009,2009,Gd,TA,PConc,Gd,TA,612,Ex,612,612,1224,2,1,2,Gd,4,Typ,0,NA,2,528,TA,TA,0,234,0,0,0,2009,164500
89,50,8470,1Fam,1.5Fin,3,2,1915,1982,Fa,Fa,CBlock,TA,Fa,1013,TA,1013,0,1526,1,0,2,Fa,6,Typ,0,NA,0,0,NA,NA,0,0,156,0,0,2009,85000
90,20,8070,1Fam,1Story,4,5,1994,1995,TA,TA,PConc,Gd,TA,990,Ex,990,0,990,1,0,3,TA,5,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2007,123600
91,20,7200,1Fam,1Story,4,5,1950,1950,TA,TA,Slab,NA,NA,0,TA,1040,0,1040,1,0,2,TA,4,Typ,0,NA,2,420,TA,TA,0,29,0,0,0,2006,109900
92,20,8500,1Fam,1Story,5,3,1961,1961,TA,TA,CBlock,TA,TA,1235,TA,1235,0,1235,1,0,2,TA,6,Typ,0,NA,2,480,TA,TA,0,0,0,0,0,2006,98600
93,30,13360,1Fam,1Story,5,7,1921,2006,TA,Gd,BrkTil,Gd,TA,876,Ex,964,0,964,1,0,2,TA,5,Typ,0,NA,2,432,TA,TA,0,0,44,0,0,2009,163500
94,190,7200,2fmCon,2.5Unf,6,6,1910,1998,TA,TA,BrkTil,TA,Fa,1214,Ex,1260,1031,2291,2,0,4,TA,9,Typ,1,Gd,2,506,TA,TA,0,0,0,0,99,2007,133900
95,60,9337,1Fam,2Story,6,5,1997,1997,TA,Gd,PConc,Gd,TA,824,Ex,905,881,1786,2,1,3,Gd,7,Typ,0,NA,2,684,TA,TA,0,162,0,0,0,2007,204750
96,60,9765,1Fam,2Story,6,8,1993,1993,Ex,Gd,PConc,Gd,Gd,680,Gd,680,790,1470,2,1,3,TA,6,Typ,1,TA,2,420,TA,TA,232,63,0,0,0,2009,185000
97,20,10264,1Fam,1Story,7,5,1999,1999,Gd,TA,PConc,Gd,TA,1588,Ex,1588,0,1588,2,0,3,Gd,6,Typ,0,NA,2,472,TA,TA,158,29,0,0,0,2006,214000
98,20,10921,1Fam,1Story,4,5,1965,1965,TA,TA,CBlock,TA,TA,960,TA,960,0,960,1,0,3,TA,6,Typ,0,NA,1,432,TA,TA,120,0,0,0,0,2007,94750
99,30,10625,1Fam,1Story,5,5,1920,1950,TA,TA,BrkTil,TA,TA,458,Fa,835,0,835,1,0,2,TA,5,Typ,0,NA,1,366,Fa,TA,0,0,77,0,0,2010,83000
100,20,9320,1Fam,1Story,4,5,1959,1959,TA,TA,CBlock,TA,TA,950,Fa,1225,0,1225,1,1,3,TA,6,Typ,0,NA,0,0,NA,NA,352,0,0,0,0,2010,128950
101,20,10603,1Fam,1Story,6,7,1977,2001,TA,TA,PConc,TA,TA,1610,Gd,1610,0,1610,2,0,3,Gd,6,Typ,2,TA,2,480,TA,TA,168,68,0,0,0,2010,205000
102,60,9206,1Fam,2Story,6,5,1985,1985,Gd,TA,CBlock,Gd,TA,741,TA,977,755,1732,2,1,3,Gd,7,Typ,1,TA,2,476,TA,TA,192,46,0,0,0,2010,178000
103,90,7018,Duplex,1Story,5,5,1979,1979,TA,Fa,Slab,NA,NA,0,TA,1535,0,1535,2,0,4,TA,8,Typ,0,NA,2,410,TA,TA,0,0,0,0,0,2009,118964
104,20,10402,1Fam,1Story,7,5,2009,2009,TA,TA,PConc,Gd,TA,1226,Ex,1226,0,1226,2,0,3,Gd,6,Typ,0,NA,3,740,TA,TA,0,36,0,0,0,2010,198900
105,50,7758,1Fam,1.5Fin,7,4,1931,1950,TA,Fa,PConc,TA,TA,1040,Ex,1226,592,1818,1,1,4,TA,7,Typ,2,TA,1,240,TA,TA,0,0,0,0,184,2007,169500
106,60,9375,1Fam,2Story,8,5,2003,2004,Gd,TA,PConc,Ex,TA,1053,Ex,1053,939,1992,2,1,3,Gd,9,Typ,1,Gd,2,648,TA,TA,140,45,0,0,0,2008,250000
107,30,10800,1Fam,1Story,4,7,1885,1995,TA,TA,BrkTil,Fa,TA,641,Gd,1047,0,1047,1,0,2,TA,6,Typ,0,NA,1,273,Fa,Fa,0,0,0,0,0,2007,100000
108,20,6000,1Fam,1Story,5,5,1948,1950,TA,TA,CBlock,TA,TA,789,Ex,789,0,789,1,0,2,TA,5,Typ,0,NA,1,250,TA,TA,0,0,0,0,0,2008,115000
109,50,8500,1Fam,1.5Fin,5,7,1919,2005,TA,TA,CBlock,TA,TA,793,TA,997,520,1517,2,0,3,Fa,7,Typ,0,NA,0,0,NA,NA,0,0,144,0,0,2007,115000
110,20,11751,1Fam,1Story,6,6,1977,1977,TA,TA,CBlock,Gd,TA,1844,Ex,1844,0,1844,2,0,3,TA,7,Typ,1,TA,2,546,TA,TA,0,122,0,0,0,2010,190000
111,50,9525,1Fam,1.5Fin,6,4,1954,1972,TA,TA,CBlock,TA,Fa,994,Gd,1216,639,1855,2,0,4,TA,7,Typ,0,NA,1,325,TA,TA,182,0,0,0,0,2006,136900
112,80,7750,1Fam,SLvl,7,5,2000,2000,TA,TA,PConc,Gd,TA,384,Ex,774,656,1430,2,1,3,TA,7,Typ,1,TA,2,400,TA,TA,180,0,0,0,0,2010,180000
113,60,9965,1Fam,2Story,7,5,2007,2007,Gd,TA,PConc,Ex,TA,1264,Ex,1282,1414,2696,2,1,4,Ex,10,Typ,1,Gd,3,792,TA,TA,120,184,0,0,168,2007,383970
114,20,21000,1Fam,1Story,6,5,1953,1953,TA,Gd,CBlock,Gd,TA,1809,TA,2259,0,2259,2,0,3,Gd,7,Typ,2,Gd,2,450,TA,TA,166,120,192,0,0,2007,217000
115,70,7259,1Fam,2Story,6,8,1945,2002,TA,TA,CBlock,TA,TA,1028,Ex,1436,884,2320,2,1,3,Gd,9,Typ,1,TA,1,180,TA,TA,224,0,0,0,0,2007,259500
116,160,3230,TwnhsE,2Story,6,5,1999,1999,TA,TA,PConc,Gd,TA,729,Gd,729,729,1458,2,1,2,TA,5,Typ,1,Fa,2,440,TA,TA,0,32,0,0,0,2007,176000
117,20,11616,1Fam,1Story,5,5,1962,1962,TA,TA,CBlock,TA,TA,1092,TA,1092,0,1092,1,0,3,TA,6,Typ,1,Po,1,288,TA,TA,0,20,144,0,0,2009,139000
118,20,8536,1Fam,1Story,5,5,2006,2007,TA,TA,PConc,Gd,TA,1125,Gd,1125,0,1125,1,1,2,TA,5,Typ,0,NA,2,430,TA,TA,80,64,0,0,0,2007,155000
119,60,12376,1Fam,2Story,7,5,1990,1990,TA,TA,PConc,Gd,TA,1673,Gd,1699,1523,3222,3,0,5,Gd,11,Typ,2,TA,3,594,TA,TA,367,0,0,0,0,2010,320000
120,60,8461,1Fam,2Story,6,5,2005,2006,Gd,TA,PConc,Gd,TA,728,Ex,728,728,1456,2,1,3,Gd,8,Typ,1,Gd,2,390,TA,TA,0,24,0,0,0,2006,163990
121,80,21453,1Fam,SLvl,6,5,1969,1969,TA,TA,CBlock,TA,TA,938,Ex,988,0,988,1,0,1,TA,4,Typ,2,TA,2,540,TA,TA,0,130,0,130,0,2006,180000
122,50,6060,1Fam,1.5Fin,4,5,1939,1950,TA,TA,PConc,TA,TA,732,Gd,772,351,1123,1,0,3,TA,4,Typ,0,NA,1,264,TA,TA,0,0,140,0,0,2007,100000
123,20,9464,1Fam,1Story,6,7,1958,1958,TA,Gd,CBlock,TA,TA,1080,Gd,1080,0,1080,1,0,3,TA,5,Typ,0,NA,1,288,TA,TA,0,0,0,0,130,2008,136000
124,120,7892,TwnhsE,1Story,6,5,1993,1993,Gd,TA,PConc,Gd,TA,1199,Ex,1199,0,1199,2,0,2,Gd,5,Typ,0,NA,2,530,TA,TA,0,63,0,0,0,2008,153900
125,20,17043,1Fam,1Story,6,5,1979,1998,TA,Gd,CBlock,Gd,Fa,1362,TA,1586,0,1586,2,0,3,TA,7,Typ,1,TA,2,435,TA,TA,192,0,0,0,0,2009,181000
126,190,6780,2fmCon,1.5Fin,6,8,1935,1982,TA,Fa,CBlock,TA,TA,520,Gd,520,0,754,1,0,2,TA,5,Typ,0,NA,0,0,NA,NA,53,0,0,0,0,2006,84500
127,120,4928,TwnhsE,1Story,6,5,1976,1976,TA,TA,CBlock,Gd,TA,1078,TA,958,0,958,2,0,2,TA,5,Typ,1,TA,2,440,TA,TA,0,205,0,0,0,2007,128000
128,45,4388,1Fam,1.5Unf,5,7,1930,1950,TA,Gd,BrkTil,TA,TA,672,Ex,840,0,840,1,0,3,TA,5,Typ,1,TA,0,0,NA,NA,0,0,0,0,0,2007,87000
